,cr_layerwise,ranks,device,time forward train,time backward train,time forward test,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
102,0.85,"[45, 28, 11, None]",cpu,1.2074,2.4912,0.395,33084,94.2,178950,68.8,267460,76.7
103,0.9,"[30, 18, 7, None]",cpu,0.9971,2.1126,0.3258,22155,96.1,116259,79.7,174252,84.8
104,0.95,"[15, 9, 3, None]",cpu,0.8365,1.836,0.277,11527,98.0,57265,90.0,86240,92.5
105,baseline,"[None, None, None, None]",cpu,1.2951,2.9476,1.2831,573000,0.0,573000,0.0,1146000,0.0
106,0.0,"[305, 187, 74, None]",cpu,4.3595,9.6025,1.6827,217566,62.0,1543050,-169.3,2248340,-96.2
107,0.05,"[289, 177, 71, None]",cpu,4.2718,10.3663,1.5949,206237,64.0,1442825,-151.8,2104792,-83.7
108,0.1,"[274, 168, 67, None]",cpu,3.9529,9.2233,1.4632,195609,65.9,1350399,-135.7,1972204,-72.1
109,0.15,"[259, 159, 63, None]",cpu,3.8954,9.8311,2.0901,184981,67.7,1259905,-119.9,1842192,-60.7
110,0.2,"[244, 149, 59, None]",cpu,3.7737,8.1677,1.317,174052,69.6,1168846,-104.0,1711160,-49.3
111,0.25,"[228, 140, 56, None]",cpu,3.3056,8.785,1.2142,163024,71.5,1079464,-88.4,1582336,-38.1
112,0.3,"[213, 131, 52, None]",cpu,3.2359,7.998,1.1778,152396,73.4,994886,-73.6,1460212,-27.4
113,0.35,"[198, 121, 48, None]",cpu,2.973,6.5839,1.08,141467,75.3,909911,-58.8,1337292,-16.7
114,0.4,"[183, 112, 44, None]",cpu,2.8575,7.705,1.0281,130839,77.2,829251,-44.7,1220392,-6.5
115,0.45,"[167, 102, 41, None]",cpu,2.7361,6.1645,0.98,119510,79.1,745778,-30.2,1099180,4.1
116,0.5,"[152, 93, 37, None]",cpu,2.4085,5.2203,0.871,108882,81.0,669102,-16.8,987592,13.8
117,0.55,"[137, 84, 33, None]",cpu,2.2755,5.1148,0.8058,98254,82.9,594358,-3.7,878580,23.3
118,0.6,"[122, 74, 29, None]",cpu,2.0648,5.1332,0.7236,87325,84.8,519499,9.3,769148,32.9
119,0.65,"[106, 65, 26, None]",cpu,1.9433,4.3402,0.6767,76297,86.7,446419,22.1,662060,42.2
120,0.7,"[91, 56, 22, None]",cpu,1.7645,3.7341,0.6181,65669,88.5,377591,34.1,560936,51.1
121,0.75,"[76, 46, 18, None]",cpu,1.5143,3.6743,0.518,54740,90.4,308816,46.1,459616,59.9
122,0.8,"[61, 37, 14, None]",cpu,1.4632,3.574,0.4932,44112,92.3,243906,57.4,363716,68.3
123,0.85,"[45, 28, 11, None]",cpu,1.1519,2.4126,0.3877,33084,94.2,178950,68.8,267460,76.7
124,0.9,"[30, 18, 7, None]",cpu,0.982,2.0828,0.3283,22155,96.1,116259,79.7,174252,84.8
125,0.95,"[15, 9, 3, None]",cpu,0.8185,1.8084,0.2701,11527,98.0,57265,90.0,86240,92.5
126,baseline,"[None, None, None, None]",cpu,1.2815,2.9286,1.2723,573000,0.0,573000,0.0,1146000,0.0
127,0.0,"[305, 187, 74, None]",cpu,4.3332,10.382,1.64,217566,62.0,1543050,-169.3,2248340,-96.2
128,0.05,"[289, 177, 71, None]",cpu,4.1513,9.2314,1.5622,206237,64.0,1442825,-151.8,2104792,-83.7
129,0.1,"[274, 168, 67, None]",cpu,3.9111,8.817,1.4638,195609,65.9,1350399,-135.7,1972204,-72.1
130,0.15,"[259, 159, 63, None]",cpu,3.8996,9.3658,1.4752,184981,67.7,1259905,-119.9,1842192,-60.7
131,0.2,"[244, 149, 59, None]",cpu,3.5599,8.3683,1.307,174052,69.6,1168846,-104.0,1711160,-49.3
132,0.25,"[228, 140, 56, None]",cpu,3.2917,8.2944,1.2181,163024,71.5,1079464,-88.4,1582336,-38.1
133,0.3,"[213, 131, 52, None]",cpu,3.2369,7.4109,1.204,152396,73.4,994886,-73.6,1460212,-27.4
